Aggregation analysis	PioViewer 1.10.22.11														
File	 D:\Sulva\Apple_Jesolver\AcAdAh.cfr														
Action Line	Root														
Flop	Global %	OOP Equity	OOP EV	OOP EQR	IP Equity	IP EV	IP EQR	BET 22%	BET 22 EV	BET 15%	BET 15 EV	BET 9%	BET 9 EV	CHECK%	CHECK EV
Ac Qd 4c	100	58.14	17.8978	102.618	41.86	12.1026	96.3671	9.62	24.05	2.86	20.87	44.52	18.75	42.99	15.44
Ac Qd 5c	100	57.95	17.7667	102.195	42.05	12.2335	96.977	12.69	23.76	3.39	20.62	39.08	18.62	44.83	15.11
Ac Qd 6c	100	58.12	18.1211	103.935	41.88	11.8791	94.5418	16.11	23.98	3.69	20.72	36.37	18.82	43.83	15.17
Ac Qd 7c	100	56.6	17.7747	104.675	43.4	12.2249	93.9	20.73	23.57	5.89	20.62	24.08	18.77	49.29	14.51
Ac Qd 8c	100	59.13	18.2104	102.657	40.87	11.7897	96.1558	21.69	23.13	2.75	21.48	27.39	19.12	48.17	15.29
Ac Qd 9c	100	59.31	18.5553	104.29	40.69	11.4445	93.7458	27.48	23.34	3.01	21.74	20.74	19.15	48.77	15.41
Ac Qd Jc	100	59.63	18.4192	102.966	40.37	11.5812	95.623	15.95	21.98	12.69	21.05	29.86	19.66	41.5	15.36
Ac Qd Tc	100	59.27	18.5655	104.407	40.73	11.4348	93.5885	15.53	21.94	20.73	20.9	25.74	19.54	37.99	15.25
Ac Tc 2c	100	55.89	16.1639	96.3945	44.1	13.8368	104.575	1.6	22.52	1.69	21.11	11.84	18.42	84.87	15.63
Ac Tc 2d	100	57.57	17.2816	100.057	42.43	12.7183	99.9219	1.89	22.76	4.5	20.71	48.6	18.67	45.01	15.21
Ac Tc 3c	100	55.72	16.2649	97.3068	44.28	13.735	103.388	1.71	22.42	2.46	20.97	16.35	18.39	79.48	15.55
Ac Tc 3d	100	56.93	17.0558	99.8562	43.07	12.9447	100.194	1.84	22.43	5.25	20.47	46.89	18.59	46.01	14.89
Ac Tc 4c	100	55.79	16.2121	96.8587	44.21	13.7879	103.964	1.38	22.18	3.13	20.86	16.3	18.39	79.19	15.48
Ac Tc 4d	100	57.34	17.2662	100.375	42.66	12.7342	99.4993	1.88	22.1	8.76	20.22	49.03	18.6	40.33	14.77
Ac Tc 5c	100	55.57	16.0195	96.0911	44.43	13.9807	104.891	1.48	22.3	3.01	20.76	12.76	18.71	82.75	15.32
Ac Tc 5d	100	57.27	17.2114	100.172	42.73	12.7888	99.7712	5.64	22.32	9.49	20.31	40.38	18.6	44.5	14.64
Ac Tc 6c	100	55.22	15.9427	96.229	44.78	14.0578	104.655	1.39	22.24	3.92	20.63	11.44	18.94	83.25	15.21
Ac Tc 6d	100	56.86	17.2716	101.245	43.14	12.7286	98.3605	23.05	22.41	4.28	20.78	21.5	18.61	51.17	14.1
Ac Tc 7c	100	54.77	15.7448	95.8321	45.23	14.2558	105.051	1.53	22.13	2.93	20.48	8.31	19.23	87.23	15.14
Ac Tc 7d	100	56.1	16.759	99.5841	43.9	13.2415	100.535	18.02	22.02	5.46	20.69	17.09	18.71	59.43	14.24
Ac Tc 8c	100	55.65	15.9181	95.3524	44.35	14.0818	105.83	1.1	21.91	2.78	20.46	9.08	19.47	87.04	15.33
Ac Tc 8d	100	57.54	17.171	99.4813	42.46	12.8292	100.705	19.21	21.76	10	20.75	12.97	18.86	57.83	14.65
Ac Tc 9c	100	55.92	16.1387	96.2073	44.08	13.8612	104.81	1.36	22.01	3.93	20.5	11.79	19.51	82.92	15.36
Ac Tc 9d	100	57.74	17.3123	99.9436	42.26	12.6879	100.079	19.64	21.93	10.2	20.96	13.35	18.93	56.81	14.68
Ac Td Tc	100	57.79	17.5247	101.076	42.21	12.4758	98.5304	0.14	21.21	0.7	19.5	47.32	18.65	51.84	16.46
Ac Td 2c	100	57.66	17.3889	100.526	42.34	12.6113	99.2856	2.06	22.68	5.04	20.76	49.63	18.66	43.27	15.29
Ac Td 3c	100	57.14	17.2862	100.841	42.86	12.7141	98.8819	2.05	22.46	6.31	20.52	49.92	18.58	41.71	15
Ac Td 4c	100	57.42	17.3731	100.849	42.58	12.627	98.8558	1.97	22.15	8.84	20.27	51.36	18.55	37.83	14.85
Ac Td 5c	100	57.28	17.2371	100.309	42.72	12.7629	99.5864	6.25	22.36	9.75	20.33	39.92	18.52	44.08	14.67
Ac Td 6c	100	56.77	17.2	100.984	43.23	12.8003	98.7102	24.29	22.34	3.29	21.05	19.76	18.51	52.66	14.1
Ac Td 7c	100	56.05	16.724	99.4512	43.95	13.2761	100.701	19.18	21.91	5.18	20.92	15.29	18.65	60.36	14.23
Ac Td 8c	100	57.47	17.1205	99.2949	42.53	12.8794	100.952	20.08	21.67	10.41	20.9	10.39	18.81	59.12	14.61
Ac Td 9c	100	57.72	17.316	99.9916	42.28	12.6844	100.014	20.51	21.88	10.8	21.02	11.53	18.85	57.17	14.67
Ad 3c 2c	100	55.85	16.3899	97.8139	44.15	13.6103	102.768	0.14	20.66	2.12	18.89	44.73	18.2	53	14.75
Ad 4c 2c	100	55.59	15.8995	95.3453	44.41	14.101	105.829	0.15	19.76	0.97	18.34	38.3	17.94	60.58	14.56
Ad 4c 3c	100	54.76	15.5471	94.6322	45.24	14.4532	106.501	0.1	20.43	0.97	18.17	35.58	17.78	63.35	14.24
Ad 5c 2c	100	55.49	15.7737	94.7546	44.51	14.2263	106.539	0.17	19.58	1	18.4	37.28	17.89	61.55	14.44
Ad 5c 3c	100	54.71	15.4618	94.198	45.29	14.5386	107.013	0.13	20.04	0.87	18.3	34.88	17.77	64.12	14.16
Ad 5c 4c	100	54.32	15.1054	92.6883	45.68	14.895	108.699	0.09	20.52	0.72	18.3	30.88	17.58	68.31	13.95
Ad 6c 2c	100	56.51	17.1317	101.058	43.49	12.8683	98.6248	0.47	19.03	5.06	19.22	60.87	18.3	33.6	14.67
Ad 6c 3c	100	55.75	16.7323	100.036	44.25	13.2679	99.9561	0.45	19.35	4.06	19.08	56.77	18.13	38.71	14.4
Ad 6c 4c	100	55.64	16.6541	99.7686	44.36	13.3463	100.294	0.36	19.36	4.43	19.08	56.82	18.08	38.39	14.23
Ad 6c 5c	100	55.07	15.8485	95.9325	44.93	14.1519	104.988	0.38	20.52	3.45	18.94	42.39	17.9	53.78	14
Ad 7c 2c	100	54.72	16.6413	101.37	45.28	13.3588	98.3452	0.82	20.35	10.02	19.44	47.69	18.24	41.47	14.05
Ad 7c 3c	100	54	16.1939	99.9692	46	13.8062	100.037	0.68	20.06	6.95	19.32	45.6	18.11	46.77	13.8
Ad 7c 4c	100	53.98	15.973	98.6339	46.02	14.0268	101.601	0.43	19.69	5.94	19.19	44.64	18.01	48.99	13.7
Ad 7c 5c	100	53.8	15.9909	99.0704	46.2	14.0094	101.085	0.91	20.74	10.55	19.28	38.78	18.05	49.75	13.6
Ad 7c 6c	100	54.38	16.0558	98.4256	45.62	13.944	101.875	0.98	21.34	7.84	19.5	37.03	18.19	54.16	14
Ad 8c 2c	100	57.03	17.3798	101.591	42.97	12.6207	97.8923	0.59	19.92	6.66	19.66	62.47	18.42	30.27	14.68
Ad 8c 3c	100	56.49	17.2486	101.774	43.51	12.7513	97.6966	0.55	19.91	8.47	19.63	59.23	18.36	31.75	14.49
Ad 8c 4c	100	56.41	16.8791	99.7388	43.59	13.121	100.339	0.46	20.14	7.1	19.49	54.85	18.25	37.6	14.34
Ad 8c 5c	100	55.65	16.3144	97.723	44.35	13.6856	102.856	0.56	20.52	7.74	19.3	44.91	18.1	46.79	14.05
Ad 8c 6c	100	55.88	16.6059	99.0622	44.12	13.3942	101.189	1.46	21.24	9.38	19.68	43.86	18.32	45.31	14.16
Ad 8c 7c	100	55.31	16.5806	99.9327	44.69	13.4195	100.084	5.1	21.5	8.02	20.17	35.21	18.49	51.68	14.24
Ad 9c 2c	100	58	17.7914	102.257	42	12.2088	96.8851	0.31	20.39	3.2	19.69	71.03	18.63	25.45	15.17
Ad 9c 3c	100	57.44	17.464	101.341	42.56	12.5357	98.1886	0.27	20	3.1	19.61	65.41	18.53	31.23	14.99
Ad 9c 4c	100	57.86	17.6315	101.576	42.14	12.3682	97.8345	0.29	19.6	3.76	19.63	68.12	18.58	27.82	15.01
Ad 9c 5c	100	57.13	17.0946	99.7341	42.87	12.9056	100.356	0.7	20.79	8.18	19.76	54.92	18.35	36.2	14.52
Ad 9c 6c	100	56.97	17.1142	100.137	43.03	12.886	99.8205	1.4	21.55	8.68	19.99	49.84	18.55	40.08	14.54
Ad 9c 7c	100	56.24	16.8335	99.7716	43.76	13.1668	100.296	4.23	21.75	7.25	20.45	38.15	18.64	50.37	14.53
Ad 9c 8c	100	57.16	16.8488	98.2576	42.84	13.1516	102.328	11.72	21.52	8.6	20.78	22.56	18.67	57.12	14.58
Ah Ad 2c	100	58.06	19.0441	109.339	41.94	10.9563	87.0756	1.22	19.65	26.25	19.7	70.87	18.87	1.66	15.52
Ah Ad 3c	100	57.35	18.7932	109.228	42.65	11.2066	87.5895	1.79	19.65	25.51	19.6	70.68	18.59	2.02	14.96
Ah Ad 4c	100	57.79	19.0377	109.817	42.21	10.9623	86.5623	1.75	19.95	22.36	19.69	74.63	18.89	1.26	15.22
Ah Ad 5c	100	57.79	18.978	109.473	42.21	11.0224	87.0364	1.85	20.12	24.82	19.61	72.08	18.8	1.25	15.04
Ah Ad 6c	100	57.99	19.3928	111.466	42.01	10.6073	84.1706	2.82	20.88	20.5	20.2	76.32	19.14	0.36	15.7
Ah Ad 7c	100	56.21	18.8176	111.582	43.79	11.1825	85.1316	6.27	20.56	22.76	19.81	69.82	18.42	1.16	14.01
Ah Ad 8c	100	58.66	19.5811	111.275	41.34	10.4189	84.0024	2.58	21.18	17.74	20.49	79.09	19.35	0.59	16.67
Ah Ad 9c	100	59.45	19.8513	111.304	40.55	10.1488	83.4269	1.36	21.33	13.46	20.75	84.45	19.7	0.74	17.6
Ah Ad Jc	100	60.17	19.9351	110.437	39.83	10.0657	84.2399	1.26	22.08	7.35	21.29	88.42	19.85	2.97	18.15
Ah Ad Kc	100	58.84	19.1637	108.565	41.16	10.8369	87.7616	7.34	23.63	4.81	21.49	69.37	19.17	18.48	16.75
Ah Ad Qc	100	59.66	19.7454	110.324	40.34	10.2547	84.7332	2.1	22.68	11.16	21.38	79.15	19.66	7.59	17.41
Ah Ad Tc	100	59.1	19.6219	110.676	40.9	10.3788	84.5813	1.84	21.82	12.79	20.8	83.9	19.44	1.47	17.19
Ad Jc 2c	100	58.81	17.9091	101.515	41.19	12.0913	97.8408	2.23	23.86	2.88	20.91	53.23	19	41.66	16
Ad Jc 3c	100	58.29	17.7407	101.457	41.71	12.2595	97.9664	1.85	23.53	3.66	20.72	52.56	18.92	41.93	15.75
Ad Jc 4c	100	58.56	17.9863	102.375	41.44	12.014	96.6457	1.45	23.01	3.94	20.5	63.5	18.89	31.11	15.6
Ad Jc 5c	100	58.37	17.8378	101.875	41.63	12.1623	97.3726	3.64	23.02	6.72	20.36	55.4	18.8	34.24	15.23
Ad Jc 6c	100	58.65	18.2062	103.477	41.35	11.794	95.0704	8.58	23.47	6.3	20.58	49.75	18.99	35.37	15.41
Ad Jc 7c	100	57.05	17.7684	103.823	42.95	12.2321	94.9268	28.63	22.64	4.9	20.93	18.06	18.69	48.41	14.23
Ad Jc 8c	100	58.93	17.989	101.759	41.07	12.0111	97.4777	22.51	22.41	7.95	21.13	19.27	18.94	50.27	15.14
Ad Jc 9c	100	59.12	18.0581	101.821	40.88	11.9421	97.3678	23.23	22.56	8.76	21.22	15.59	19.01	52.42	15.25
Ad Jc Tc	100	59.03	18.4996	104.459	40.97	11.5008	93.5779	11.67	21.26	23.73	20.41	36.92	19.39	27.68	14.51
Ad Kc 2c	100	57.57	17.4098	100.806	42.43	12.5902	98.9063	14.78	24.28	0.84	21.74	22.26	18.66	62.13	15.27
Ad Kc 3c	100	57.06	17.2859	100.984	42.94	12.7148	98.6969	16.33	24.01	0.84	21.7	20.79	18.61	62.04	15.01
Ad Kc 4c	100	57.34	17.4338	101.345	42.66	12.5669	98.1986	18.67	23.87	1.21	21.39	20.52	18.59	59.6	14.94
Ad Kc 5c	100	57.34	17.1842	99.8999	42.66	12.8156	100.133	15.85	23.47	1.49	21.2	22.58	18.56	60.08	14.91
Ad Kc 6c	100	57.45	17.6566	102.442	42.55	12.3435	96.704	21.67	23.64	1.59	21.37	20.57	18.68	56.17	14.87
Ad Kc 7c	100	55.98	17.3163	103.113	44.02	12.6837	96.0412	25.34	23.18	2.39	21.07	14.98	18.81	57.3	14.17
Ad Kc 8c	100	57.78	17.9311	103.437	42.22	12.069	95.2965	27.5	23.29	2.7	21.44	15.58	19.02	54.22	14.73
Ad Kc 9c	100	58.59	18.2594	103.886	41.41	11.7408	94.5039	28.88	23.38	2.91	21.66	12.22	19.16	55.99	15.25
Ad Kc Jc	100	58.84	17.9389	101.631	41.16	12.0613	97.6709	14.67	21.9	15.43	21.15	15.25	20.12	54.64	15.36
Ad Kc Qc	100	58.82	18.3856	104.197	41.18	11.6144	94.0062	23.3	22.24	16.29	21.37	11.12	20.13	49.29	15.18
Ad Kc Tc	100	58.38	17.9449	102.452	41.62	12.0553	96.5615	16.45	21.79	15.45	21.01	15.74	19.89	52.36	15.24
Ad Qc 2c	100	58.38	17.9702	102.597	41.62	12.0296	96.3547	7.1	24.49	1.5	20.99	46.79	18.88	44.61	15.87
Ad Qc 3c	100	57.86	17.8174	102.643	42.14	12.1826	96.3715	7.43	24.26	1.86	20.92	45.62	18.81	45.1	15.62
Ad Qc 4c	100	58.18	17.9833	103.037	41.82	12.017	95.7778	9.3	24.12	2.71	20.71	45.96	18.83	42.03	15.52
Ad Qc 5c	100	57.98	17.837	102.554	42.02	12.1633	96.4791	12.22	23.86	2.93	20.58	40.76	18.69	44.08	15.19
Ad Qc 6c	100	58.19	18.2312	104.442	41.81	11.7688	93.8188	15.43	24.11	3.5	20.65	39.38	18.86	41.68	15.25
Ad Qc 7c	100	56.68	17.8904	105.221	43.32	12.1099	93.1723	20.87	23.68	4.24	20.53	27.28	18.82	47.6	14.59
Ad Qc 8c	100	59.21	18.3344	103.215	40.79	11.6657	95.3332	23.65	23.17	2.63	21.45	25.29	19.08	48.43	15.42
Ad Qc 9c	100	59.33	18.626	104.647	40.67	11.374	93.2217	27.96	23.42	2.64	21.68	21.05	19.1	48.36	15.48
Ad Qc Jc	100	59.63	18.445	103.1	40.37	11.5554	95.4237	13.49	22	13.15	21.03	32.96	19.72	40.4	15.37
Ad Qc Tc	100	59.26	18.5724	104.469	40.74	11.4278	93.5006	18.02	21.92	15.34	20.85	28.07	19.61	38.56	15.34
Ad Tc 2c	100	57.69	17.5136	101.196	42.31	12.4864	98.3695	1.88	22.91	4.22	20.69	53.02	18.74	40.88	15.35
Ad Tc 3c	100	57.15	17.387	101.408	42.85	12.6135	98.1264	1.8	22.61	5.31	20.41	52.92	18.66	39.97	15.07
Ad Tc 4c	100	57.47	17.5178	101.607	42.53	12.4825	97.8309	1.42	22.2	8.08	20.17	55.49	18.66	35.01	14.91
Ad Tc 5c	100	57.33	17.3833	101.076	42.67	12.6168	98.5559	5.38	22.54	8.54	20.23	45.01	18.64	41.07	14.74
Ad Tc 6c	100	56.95	17.4714	102.27	43.05	12.5287	96.999	25.41	22.46	3.07	20.94	22.88	18.56	48.64	14.14
Ad Tc 7c	100	56.25	17.0241	100.875	43.75	12.9761	98.876	21.26	22.1	4.11	20.96	18.95	18.61	55.67	14.26
Ad Tc 8c	100	57.61	17.3536	100.404	42.39	12.6467	99.4532	21.31	21.84	10.52	20.89	12.52	18.76	55.65	14.65
Ad Tc 9c	100	57.87	17.5605	101.148	42.13	12.4398	98.4266	22.43	22.02	10.5	21.04	13.53	18.8	53.55	14.7
Ah 2d 2c	100	57.47	17.3085	100.388	42.53	12.6917	99.4771	0.4	18.26	2.61	18.45	64.97	18.25	32.02	15.3
Ah 3d 3c	100	56.4	16.2468	96.0168	43.6	13.754	105.159	0.06	18.44	0.98	17.69	43.09	17.93	55.88	14.92
Ah 3d 2c	100	55.99	16.4489	97.9348	44.01	13.5512	102.628	0.38	19.88	5.71	18.98	44	18.16	49.91	14.63
Ah 4d 4c	100	57.03	17.1919	100.482	42.97	12.8079	99.3597	0.27	18.24	1.78	18.2	59.07	18.37	38.89	15.34
Ah 4d 2c	100	55.75	15.872	94.9004	44.25	14.1284	106.428	0.21	19.28	2.31	18.24	39.28	17.93	58.2	14.38
Ah 4d 3c	100	54.78	15.3654	93.5045	45.22	14.6346	107.868	0.29	19.32	1.41	18.23	34.4	17.62	63.89	14.07
Ah 5d 5c	100	56.7	16.5424	97.2486	43.3	13.4585	103.61	0.04	20.23	0.58	18.18	40.1	18.25	59.27	15.37
Ah 5d 2c	100	55.74	15.7918	94.441	44.26	14.2084	107.002	0.35	19.14	2.18	18.35	39.62	17.87	57.85	14.25
Ah 5d 3c	100	54.81	15.3378	93.2831	45.19	14.6625	108.148	0.27	19.51	1.47	18.35	34.98	17.64	63.28	13.98
Ah 5d 4c	100	54.35	14.8225	90.9135	45.65	15.1775	110.817	0.12	19.92	0.83	18.32	29.3	17.3	69.75	13.73
Ah 6d 6c	100	56.86	16.9455	99.3426	43.14	13.0548	100.868	0.12	18.97	0.84	18.14	53.78	18.22	45.26	15.4
Ah 6d 2c	100	56.89	17.5512	102.843	43.11	12.4491	96.2506	0.81	19.09	12.96	19.1	65.24	18.17	20.99	14.61
Ah 6d 3c	100	56.03	17.0222	101.26	43.97	12.9779	98.3947	0.63	19.02	12.08	18.96	56.91	18.06	30.39	14.27
Ah 6d 4c	100	55.89	16.8842	100.697	44.11	13.1159	99.1171	0.56	18.67	12.64	18.91	56.69	17.88	30.1	14.12
Ah 6d 5c	100	55.31	15.9071	95.87	44.69	14.0931	105.113	0.41	19.43	7.94	18.78	43.46	17.6	48.19	13.87
Ah 7d 7c	100	54.31	14.989	92.0023	45.69	15.0117	109.51	0.12	19.2	0.56	18.19	13.17	17.5	86.15	14.58
Ah 7d 2c	100	54.91	16.8959	102.573	45.09	13.1041	96.8672	1.94	20.49	17.41	19.13	47.5	18	33.15	13.92
Ah 7d 3c	100	54.14	16.3586	100.722	45.86	13.6416	99.1487	1.35	19.99	13.87	19.1	43.89	17.87	40.89	13.68
Ah 7d 4c	100	54.22	16.1581	99.3321	45.78	13.8421	100.793	0.82	19.51	15.32	18.89	41.52	17.71	42.34	13.58
Ah 7d 5c	100	54.02	16.1914	99.904	45.98	13.8089	100.115	0.97	19.85	16.18	18.95	43.16	17.65	39.68	13.39
Ah 7d 6c	100	54.63	16.2706	99.281	45.37	13.7298	100.868	0.98	20.41	9.58	19.07	48.06	17.73	41.38	13.83
Ah 8d 8c	100	57.51	17.2628	100.064	42.49	12.7371	99.9124	0.1	19.1	1.04	18.28	60.58	18.23	38.27	15.7
Ah 8d 2c	100	57.35	17.8007	103.459	42.65	12.1996	95.3507	0.92	19.14	15.67	19.2	69.49	18.18	13.92	14.24
Ah 8d 3c	100	56.67	17.5137	103.022	43.33	12.4862	96.0477	1.17	19.78	17.84	19.2	60.23	18.13	20.76	14.14
Ah 8d 4c	100	56.78	17.2285	101.144	43.22	12.7718	98.4993	0.78	19.31	14.96	19.04	61.43	17.92	22.83	14.11
Ah 8d 5c	100	56	16.5459	98.4852	44	13.4542	101.929	0.64	19	13.05	18.82	53.51	17.67	32.81	13.76
Ah 8d 6c	100	56.35	17.0244	100.711	43.65	12.9757	99.0824	0.88	19.94	15.83	19.17	55	17.94	28.29	13.96
Ah 8d 7c	100	55.63	16.9456	101.542	44.37	13.0545	98.0676	1.33	20.82	12.71	19.36	51.45	18.14	34.51	14.13
Ah 9d 9c	100	58.7	18.3492	104.199	41.3	11.6511	94.0344	0.13	19.54	1.79	18.85	82.31	18.71	15.77	16.38
Ah 9d 2c	100	58.29	18.2109	104.136	41.71	11.7892	94.221	0.8	19.19	8.92	19.47	80.02	18.5	10.26	14.74
Ah 9d 3c	100	57.72	17.8473	103.063	42.28	12.153	95.8202	0.73	19.29	7.96	19.36	76.11	18.34	15.2	14.52
Ah 9d 4c	100	58.26	18.1058	103.598	41.74	11.8943	94.9792	0.81	19.17	8.36	19.43	80.51	18.41	10.32	14.55
Ah 9d 5c	100	57.53	17.466	101.2	42.47	12.5343	98.3763	0.66	19.44	16.06	19.26	64.06	17.97	19.21	14.22
Ah 9d 6c	100	57.42	17.5524	101.89	42.58	12.4478	97.4528	0.81	19.99	13.54	19.39	65.76	18.12	19.88	14.32
Ah 9d 7c	100	56.55	17.1763	101.237	43.45	12.8237	98.3888	1.31	21.25	11.54	19.57	52.7	18.34	34.45	14.44
Ah 9d 8c	100	57.57	17.1178	99.1145	42.43	12.8824	101.204	3.33	21.7	5.37	20.13	52.74	18.36	38.56	14.6
Ah Jd Jc	100	59.93	19.359	107.67	40.07	10.6408	88.5253	0.24	20.55	2.07	19.59	89.94	19.5	7.75	17.57
Ah Jd 2c	100	59.33	18.568	104.317	40.67	11.4319	93.7014	0.99	22.74	3.26	20.38	80.15	18.93	15.6	16.09
Ah Jd 3c	100	58.69	18.2829	103.835	41.31	11.7172	94.5519	1.13	22.26	4.55	20.39	74.83	18.77	19.49	15.67
Ah Jd 4c	100	58.97	18.5031	104.582	41.03	11.4966	93.4103	1.39	21.93	7.72	20.34	76.69	18.8	14.2	15.55
Ah Jd 5c	100	58.88	18.4476	104.445	41.12	11.5527	93.6388	2.41	22.19	12.2	20.34	71.89	18.63	13.49	15.1
Ah Jd 6c	100	59.28	19.0224	106.958	40.72	10.9776	89.8688	5.56	23.26	12.71	20.57	73.49	18.83	8.24	15.49
Ah Jd 7c	100	57.56	18.4103	106.606	42.44	11.5897	91.0385	22.78	22.33	15.58	20.42	32.4	18.35	29.24	14.35
Ah Jd 8c	100	59.6	18.649	104.301	40.4	11.3509	93.6538	14.64	22.19	14.12	20.79	43.6	18.94	27.63	15.22
Ah Jd 9c	100	59.74	18.6099	103.83	40.26	11.3903	94.3172	15.27	22.43	12.4	20.9	40.52	19.07	31.82	15.31
Ah Jd Tc	100	59.7	19.2832	107.671	40.3	10.7171	88.6388	20.86	21.58	26.93	20.51	32.54	19.5	19.67	14.81
Ah Kd Kc	100	58.66	18.3251	104.126	41.34	11.6754	94.1478	0.89	24.08	1.44	20.54	64.78	19.1	32.89	16.55
Ah Kd 2c	100	58.03	17.8815	102.712	41.97	12.1188	96.2529	11.31	24.49	2.08	20.85	39.37	18.85	47.24	15.36
Ah Kd 3c	100	57.36	17.6355	102.475	42.64	12.3646	96.6698	12.87	24.24	2.41	20.76	34.33	18.74	50.4	15.04
Ah Kd 4c	100	57.76	17.8711	103.132	42.24	12.1288	95.716	15.15	24.04	2.99	20.59	37.09	18.68	44.77	14.93
Ah Kd 5c	100	57.8	17.6215	101.627	42.2	12.3785	97.7719	11.19	23.8	4.03	20.58	41.28	18.62	43.5	14.81
Ah Kd 6c	100	58.04	18.3286	105.261	41.96	11.6717	92.7245	17.3	24.25	3.8	20.76	43.11	18.6	35.79	14.88
Ah Kd 7c	100	56.48	17.9821	106.13	43.52	12.0179	92.0452	22.1	23.53	8.03	20.54	28.56	18.34	41.32	14.27
Ah Kd 8c	100	58.46	18.7251	106.767	41.54	11.2751	90.4785	21.87	23.73	5.15	20.92	41.93	18.69	31.05	14.89
Ah Kd 9c	100	59.22	18.9822	106.841	40.78	11.0179	90.065	21.75	23.8	4.57	21.29	40.5	18.94	33.19	15.56
Ah Kd Jc	100	59.5	18.5454	103.904	40.5	11.4547	94.2663	22.75	22.33	13.12	21.19	17.07	19.72	47.06	15.55
Ah Kd Qc	100	59.47	19.1082	107.101	40.53	10.892	89.5817	28.53	22.84	15.37	21.34	14.57	19.85	41.53	15.46
Ah Kd Tc	100	59.03	18.5881	104.968	40.97	11.4123	92.8462	21.28	22.23	16.47	20.99	19.5	19.42	42.75	15.47
Ah Qd Qc	100	59.47	19.2255	107.767	40.53	10.775	88.609	0.51	21.63	2.04	19.87	87.5	19.42	9.95	17.25
Ah Qd 2c	100	58.84	18.5517	105.093	41.16	11.4482	92.7184	4.95	24.39	2.6	20.45	67.71	19.01	24.74	15.93
Ah Qd 3c	100	58.19	18.2813	104.729	41.81	11.7187	93.4192	6.19	24.21	2.99	20.65	61.03	18.86	29.79	15.63
Ah Qd 4c	100	58.59	18.5223	105.373	41.41	11.4778	92.3976	6.93	24.14	3.72	20.56	67.56	18.8	21.79	15.52
Ah Qd 5c	100	58.51	18.4688	105.217	41.49	11.5317	92.6474	9.92	23.8	6.07	20.6	61.11	18.62	22.9	15.2
Ah Qd 6c	100	58.84	19.1022	108.209	41.16	10.898	88.265	13.18	24.33	6.46	20.72	66.5	18.7	13.86	15.29
Ah Qd 7c	100	57.22	18.6974	108.918	42.78	11.3027	88.0715	22.5	23.6	8.29	20.5	41.32	18.38	27.9	14.67
Ah Qd 8c	100	59.89	19.0643	106.114	40.11	10.9358	90.8732	14.2	23.27	12.45	20.92	48.53	19.16	24.82	15.53
Ah Qd 9c	100	59.99	19.3333	107.432	40.01	10.6668	88.8592	20.09	23.84	7.13	21.13	45.32	19.22	27.46	15.75
Ah Qd Jc	100	60.36	19.1831	105.936	39.64	10.817	90.9614	19.64	22.41	16.34	20.87	32.88	19.75	31.14	15.66
Ah Qd Tc	100	59.96	19.38	107.734	40.04	10.6201	88.4178	20.89	22.43	19.03	20.84	34.29	19.6	25.79	15.54
Ah Td Tc	100	58.32	18.0013	102.88	41.68	11.9989	95.9712	0.14	19.7	1.19	18.41	70.26	18.63	28.41	16.41
Ah Td 2c	100	58.13	18.101	103.8	41.87	11.8993	94.7277	1.16	21.5	6.07	20.17	75.77	18.53	17.01	15.23
Ah Td 3c	100	57.44	17.8133	103.381	42.56	12.1864	95.4346	1.32	21.48	9.87	20.07	66.35	18.4	22.46	14.89
Ah Td 4c	100	57.86	18.0233	103.825	42.14	11.9769	94.7492	1.62	21.37	12	19.97	69.55	18.41	16.83	14.72
Ah Td 5c	100	57.83	17.9499	103.471	42.17	12.0502	95.2426	4.11	21.94	16.69	20.08	56.11	18.43	23.1	14.55
Ah Td 6c	100	57.43	17.9971	104.464	42.57	12.0033	93.9813	14.28	22.09	16.93	20.29	41.67	18.1	27.11	14.24
Ah Td 7c	100	56.65	17.4713	102.81	43.35	12.5287	96.3289	11.2	22.11	9.82	20.34	42.03	18.3	36.95	14.36
Ah Td 8c	100	58.15	17.8197	102.155	41.85	12.1806	97.0093	14.51	21.85	11.5	20.53	35.3	18.65	38.69	14.74
Ah Td 9c	100	58.32	17.9245	102.444	41.68	12.0759	96.5829	13.25	22	11.51	20.46	38.21	18.78	37.03	14.79
Jc 2d 2c	100	56.85	16.6317	97.5152	43.15	13.3687	103.277	0.15	18.99	2.53	18.52	54.39	18.05	42.92	14.71
Jc 3c 2c	100	54.85	16.0139	97.3228	45.15	13.9863	103.254	0.69	21.28	1.38	19.72	33.04	17.88	64.9	14.93
Jc 3c 2d	100	55.77	16.2669	97.2199	44.23	13.7332	103.507	0.59	19.36	5.79	18.76	51.17	17.94	42.45	13.86
Jc 3d 3c	100	55.99	15.7471	93.7413	44.01	14.2537	107.97	0.04	20.11	1.16	18.07	35.39	17.82	63.41	14.55
Jc 3d 2c	100	55.72	16.2011	96.9145	44.28	13.7989	103.884	0.5	19.51	5.39	18.8	49.52	17.96	44.59	13.89
Jc 4c 2c	100	54.95	16.021	97.1772	45.05	13.9789	103.443	0.5	20.94	1.11	19.5	36.85	17.8	61.55	14.86
Jc 4c 2d	100	55.98	16.2628	96.8433	44.02	13.7372	104.014	0.57	18.87	6.56	18.61	53.42	17.86	39.45	13.68
